timestamp,signal_jaw,signal_brow
70819,310,503
70835,315,501
70850,321,498
70865,325,501
70882,324,505
70897,320,506
70913,332,499
70928,328,502
70944,335,507
70960,331,516
70975,331,517
70990,330,515
71007,324,518
71022,331,524
71037,336,531
71053,329,525
71068,342,525
71085,335,530
71100,336,533
71115,341,528
71131,332,525
71147,341,524
71162,338,527
71178,343,529
71193,338,522
71209,344,519
71225,348,522
71240,344,522
71256,351,520
71272,354,518
71287,358,520
71303,360,520
71318,360,521
71333,362,516
71350,363,513
71365,363,516
71380,357,521
71396,361,516
71412,361,512
71428,360,512
71443,354,515
71458,358,516
71475,352,512
71490,346,510
71505,349,509
71521,350,512
71537,346,515
71553,347,506
71568,343,510
71583,342,510
71599,353,513
71615,344,506
71630,339,510
71646,339,510
71661,343,510
71677,344,513
71693,344,498
71708,343,495
71724,342,492
71740,347,490
71755,343,488
71771,341,486
71786,337,483
71802,333,484
71818,343,485
71833,346,482
71848,410,480
71864,364,494
71880,340,482
71896,277,504
71911,392,493
71926,283,498
71943,347,500
71958,312,502
71973,321,496
71989,298,508
72005,315,507
72020,291,516
72036,313,503
72051,297,505
72067,306,513
72083,310,517
72098,314,514
72114,316,510
72129,317,512
72145,318,513
72161,317,510
72176,325,516
72192,321,505
72208,324,507
72223,323,518
72239,325,507
72254,333,510
72270,324,509
72286,333,510
72301,331,513
72316,333,514
72332,334,512
72348,334,505
72364,338,512
72379,350,515
72394,334,512
72411,333,506
72426,342,516
72441,335,513
72457,336,514
72473,332,514
72488,336,513
72504,336,518
72519,334,522
72536,340,514
72551,338,519
72566,338,517
72582,337,518
72597,340,517
72613,340,520
72629,337,513
72644,334,521
72659,334,520
72676,335,524
72691,332,519
72707,333,512
72722,332,530
72738,327,518
72754,332,519
72769,333,520
72784,331,517
72801,329,524
72816,341,518
72832,333,516
72847,331,515
72862,330,525
72879,331,517
72894,333,516
72909,325,516
72925,325,523
72941,328,522
72956,324,521
72972,320,517
72987,327,519
73004,326,524
73019,319,519
73034,328,517
73050,324,507
73065,322,515
73081,326,516
73097,326,513
73112,329,512
73127,328,510
73144,338,518
73159,332,512
73175,339,511
73190,314,522
73206,318,499
73222,393,523
73237,323,511
73252,417,515
73269,314,506
73284,296,530
73299,329,516
73315,391,529
73330,315,520
73347,283,506
73362,312,510
73377,330,520
73393,302,520
73409,333,516
73424,288,524
73440,299,523
73455,321,511
73472,286,522
73487,270,511
73502,298,516
73518,295,522
73534,292,518
73549,301,519
73565,307,514
73580,307,520
73595,304,516
73612,311,511
73627,311,515
73643,312,515
73658,321,518
73674,318,516
73690,321,505
73705,323,516
73720,328,518
73737,327,519
73752,334,524
73767,330,530
73783,338,533
73799,342,535
73815,339,533
73830,346,533
73845,345,531
73861,342,535
73877,345,533
73892,351,525
73908,359,527
73923,346,527
73939,346,530
73955,347,520
73970,345,521
73986,336,525
74002,355,523
74017,349,522
74033,346,515
74048,358,518
74063,351,517
74080,352,520
74095,351,517
74110,356,514
74126,352,518
74142,350,516
74158,352,517
74173,350,504
74188,347,500
74205,347,502
74220,345,492
74235,347,498
74251,344,488
74267,345,486
74283,344,489
74298,343,494
74313,342,484
74329,343,486
74345,339,487
74360,341,494
74376,350,486
74391,337,478
74407,330,492
74423,365,494
74438,357,501
74454,335,492
74470,320,489
74485,309,500
74501,356,511
74516,321,509
74532,314,503
74548,316,522
74563,326,524
74578,338,533
74594,321,523
74610,323,531
74626,332,533
74641,333,535
74656,329,537
74673,328,531
74688,340,528
74703,329,532
74719,326,529
74735,330,526
74750,330,524
74766,333,530
74781,334,525
74798,335,525
74813,339,517
74828,336,521
74844,337,520
74859,344,522
74875,340,520
74891,337,509
74906,339,510
74921,333,508
74938,337,508
74953,335,496
74969,329,497
74984,336,497
75000,329,500
75016,336,484
75031,348,475
75046,415,482
75062,231,505
75078,432,499
75094,275,495
75109,337,497
75124,294,496
75141,268,508
75156,304,502
75171,312,500
75187,307,503
75203,313,505
75218,314,505
75234,318,507
75249,316,503
75266,323,503
75281,320,510
75296,325,507
75312,329,504
75327,328,505
75343,332,506
75359,333,510
75374,331,508
75389,332,500
75406,338,509
75421,344,512
75437,353,506
75452,332,507
75468,336,505
75484,332,508
75499,336,510
75514,341,510
75531,334,504
75546,336,510
75561,339,516
75577,347,512
75592,347,510
75609,344,513
75624,342,512
75639,342,513
75655,346,511
75671,345,509
75686,346,508
75702,342,516
75717,342,510
75734,338,510
75749,335,510
75764,339,513
75780,338,518
75796,336,512
75811,335,508
75827,334,511
75842,335,518
75857,330,510
75874,370,510
75889,359,512
75905,346,516
75920,336,511
75936,313,515
75952,294,516
75967,369,519
75982,394,537
75999,337,523
76014,335,509
76029,266,521
76045,376,526
76060,289,519
76077,291,530
76092,265,510
76107,300,522
76123,306,520
76139,313,524
76154,314,518
76170,318,516
76185,330,516
76201,321,518
76217,322,519
76232,325,514
76248,326,512
76264,326,518
76279,329,514
76295,330,512
76310,334,509
76325,335,510
76342,334,515
76357,336,512
76372,343,508
76388,344,512
76404,342,514
76420,342,516
76435,343,510
76450,345,507
76467,339,515
76482,337,515
76497,340,512
76513,340,509
76529,336,511
76545,339,515
76560,336,513
76575,339,511
76591,341,509
76607,343,505
76622,341,522
76638,342,507
76653,346,512
76669,346,506
76685,345,512
76700,349,512
76716,348,510
76732,348,512
76747,347,511
76763,346,517
76778,345,518
76794,345,505
76810,347,512
76825,341,515
76840,341,518
76856,342,514
76872,343,510
76888,338,511
76903,350,518
76918,347,516
76935,334,514
76950,336,513
76965,355,517
76981,343,516
76997,367,521
77012,372,513
77028,308,517
77043,405,522
77059,350,529
77075,347,511
77090,274,524
77106,341,521
77121,260,534
77137,330,527
77153,249,535
77168,316,531
77184,304,531
77200,310,535
77215,308,530
77231,313,530
77246,315,530
77262,317,534
77278,322,529
77293,326,521
77308,318,522
77324,321,526
77340,324,525
77356,327,518
77371,327,517
77386,332,520
77403,334,525
77418,334,519
77433,341,517
77449,336,516
77465,343,518
77480,339,521
77496,343,514
77511,340,515
77528,339,509
77543,343,519
77558,343,516
77574,340,508
77589,344,509
77605,339,512
77621,345,516
77636,354,509
77651,346,507
77668,342,507
77683,344,510
77699,345,512
77714,345,507
77730,341,507
77746,342,508
77761,346,510
77776,345,506
77793,344,505
77808,343,506
77824,345,513
77839,345,508
77854,346,505
77871,348,505
77886,341,509
77901,344,508
77917,342,509
77933,339,502
77948,343,505
77964,342,504
77979,346,503
77996,344,495
78011,352,495
78026,327,498
78042,393,511
78057,353,491
78073,336,504
78089,331,496
78104,364,499
78119,304,499
78136,329,480
78151,315,504
78167,289,488
78182,335,504
78198,257,500
78214,308,497
78229,324,499
78244,309,501
78261,307,504
78276,314,502
78291,313,501
78307,311,502
78322,319,506
78339,316,506
78354,326,503
78369,335,502
78385,326,507
78401,328,507
78416,331,506
78432,330,503
78447,336,507
78464,333,513
78479,337,513
78494,337,510
78510,337,508
78526,333,515
78541,342,517
78557,338,512
78572,338,507
78587,340,510
78604,337,515
78619,338,521
78635,333,510
78650,334,512
78666,330,516
78682,333,520
78697,332,514
78712,333,511
78729,328,517
78744,325,516
78759,334,516
78775,344,513
78791,272,511
78807,449,510
78822,334,521
78837,362,524
78853,323,514
78869,284,502
78884,285,528
78900,280,535
78915,341,503
78931,274,525
78947,285,523
78962,286,529
78978,283,519
78994,298,517
79009,303,520
79025,305,519
79040,313,517
79055,311,514
79072,322,519
79087,321,515
79102,316,522
79118,319,515
79134,318,514
79150,322,512
79165,320,519
79180,326,516
79197,328,516
79212,328,514
79227,331,512
79243,332,517
79259,331,515
79275,335,508
79290,336,512
79305,331,514
79321,335,516
79337,340,513
79352,338,508
79368,332,511
79383,338,516
79399,338,512
79415,339,510
79430,338,511
79446,338,514
79462,337,517
79477,341,512
79493,335,508
79508,335,513
79524,337,514
79540,334,514
79555,333,507
79570,337,512
79586,335,509
79602,334,519
79618,342,508
79633,337,509
79648,340,513
79665,330,515
79680,340,515
79695,337,507
79711,337,510
79727,338,511
79742,338,516
79758,340,513
79773,348,508
79790,352,513
79805,340,513
79820,343,513
79836,342,513
79851,344,507
79867,340,512
79883,340,514
79898,343,512
79913,340,504
79930,338,507
79945,341,513
79961,334,510
79976,336,508
79992,344,507
